iteration,epsilon,hex,1+epsilon/2
0,1.00000000000000000000e+00,0x1.0p0,1.50000000000000000000e+00
1,5.00000000000000000000e-01,0x1.0p-1,1.25000000000000000000e+00
2,2.50000000000000000000e-01,0x1.0p-2,1.12500000000000000000e+00
3,1.25000000000000000000e-01,0x1.0p-3,1.06250000000000000000e+00
4,6.25000000000000000000e-02,0x1.0p-4,1.03125000000000000000e+00
5,3.12500000000000000000e-02,0x1.0p-5,1.01562500000000000000e+00
6,1.56250000000000000000e-02,0x1.0p-6,1.00781250000000000000e+00
7,7.81250000000000000000e-03,0x1.0p-7,1.00390625000000000000e+00
8,3.90625000000000000000e-03,0x1.0p-8,1.00195312500000000000e+00
9,1.95312500000000000000e-03,0x1.0p-9,1.00097656250000000000e+00
10,9.76562500000000000000e-04,0x1.0p-10,1.00048828125000000000e+00
11,4.88281250000000000000e-04,0x1.0p-11,1.00024414062500000000e+00
12,2.44140625000000000000e-04,0x1.0p-12,1.00012207031250000000e+00
13,1.22070312500000000000e-04,0x1.0p-13,1.00006103515625000000e+00
14,6.10351562500000000000e-05,0x1.0p-14,1.00003051757812500000e+00
15,3.05175781250000000000e-05,0x1.0p-15,1.00001525878906250000e+00
16,1.52587890625000000000e-05,0x1.0p-16,1.00000762939453120000e+00
17,7.62939453125000000000e-06,0x1.0p-17,1.00000381469726560000e+00
18,3.81469726562500000000e-06,0x1.0p-18,1.00000190734863280000e+00
19,1.90734863281250000000e-06,0x1.0p-19,1.00000095367431640000e+00
20,9.53674316406250000000e-07,0x1.0p-20,1.00000047683715820000e+00
21,4.76837158203125000000e-07,0x1.0p-21,1.00000023841857900000e+00
22,2.38418579101562500000e-07,0x1.0p-22,1.00000011920928960000e+00
23,1.19209289550781250000e-07,0x1.0p-23,1.00000005960464480000e+00
24,5.96046447753906250000e-08,0x1.0p-24,1.00000002980232240000e+00
25,2.98023223876953120000e-08,0x1.0p-25,1.00000001490116120000e+00
26,1.49011611938476560000e-08,0x1.0p-26,1.00000000745058060000e+00
27,7.45058059692382800000e-09,0x1.0p-27,1.00000000372529030000e+00
28,3.72529029846191400000e-09,0x1.0p-28,1.00000000186264510000e+00
29,1.86264514923095700000e-09,0x1.0p-29,1.00000000093132260000e+00
30,9.31322574615478500000e-10,0x1.0p-30,1.00000000046566130000e+00
31,4.65661287307739260000e-10,0x1.0p-31,1.00000000023283060000e+00
32,2.32830643653869630000e-10,0x1.0p-32,1.00000000011641530000e+00
33,1.16415321826934810000e-10,0x1.0p-33,1.00000000005820770000e+00
34,5.82076609134674100000e-11,0x1.0p-34,1.00000000002910380000e+00
35,2.91038304567337040000e-11,0x1.0p-35,1.00000000001455200000e+00
36,1.45519152283668520000e-11,0x1.0p-36,1.00000000000727600000e+00
37,7.27595761418342600000e-12,0x1.0p-37,1.00000000000363800000e+00
38,3.63797880709171300000e-12,0x1.0p-38,1.00000000000181900000e+00
39,1.81898940354585650000e-12,0x1.0p-39,1.00000000000090950000e+00
40,9.09494701772928200000e-13,0x1.0p-40,1.00000000000045470000e+00
41,4.54747350886464100000e-13,0x1.0p-41,1.00000000000022740000e+00
42,2.27373675443232060000e-13,0x1.0p-42,1.00000000000011370000e+00
43,1.13686837721616030000e-13,0x1.0p-43,1.00000000000005680000e+00
44,5.68434188608080150000e-14,0x1.0p-44,1.00000000000002840000e+00
45,2.84217094304040070000e-14,0x1.0p-45,1.00000000000001420000e+00
46,1.42108547152020040000e-14,0x1.0p-46,1.00000000000000700000e+00
47,7.10542735760100200000e-15,0x1.0p-47,1.00000000000000360000e+00
48,3.55271367880050100000e-15,0x1.0p-48,1.00000000000000180000e+00
49,1.77635683940025050000e-15,0x1.0p-49,1.00000000000000090000e+00
50,8.88178419700125200000e-16,0x1.0p-50,1.00000000000000040000e+00
51,4.44089209850062600000e-16,0x1.0p-51,1.00000000000000020000e+00
52,2.22044604925031300000e-16,0x1.0p-52,1.00000000000000000000e+00
