iteration,epsilon,hex,1+epsilon/2
0,1.0000000000e+00,0x1.0p0,1.5000000000e+00
1,5.0000000000e-01,0x1.0p-1,1.2500000000e+00
2,2.5000000000e-01,0x1.0p-2,1.1250000000e+00
3,1.2500000000e-01,0x1.0p-3,1.0625000000e+00
4,6.2500000000e-02,0x1.0p-4,1.0312500000e+00
5,3.1250000000e-02,0x1.0p-5,1.0156250000e+00
6,1.5625000000e-02,0x1.0p-6,1.0078125000e+00
7,7.8125000000e-03,0x1.0p-7,1.0039062500e+00
8,3.9062500000e-03,0x1.0p-8,1.0019531250e+00
9,1.9531250000e-03,0x1.0p-9,1.0009765625e+00
10,9.7656250000e-04,0x1.0p-10,1.0004882813e+00
11,4.8828125000e-04,0x1.0p-11,1.0002441406e+00
12,2.4414062500e-04,0x1.0p-12,1.0001220703e+00
13,1.2207031250e-04,0x1.0p-13,1.0000610352e+00
14,6.1035156250e-05,0x1.0p-14,1.0000305176e+00
15,3.0517578125e-05,0x1.0p-15,1.0000152588e+00
16,1.5258789063e-05,0x1.0p-16,1.0000076294e+00
17,7.6293945313e-06,0x1.0p-17,1.0000038147e+00
18,3.8146972656e-06,0x1.0p-18,1.0000019073e+00
19,1.9073486328e-06,0x1.0p-19,1.0000009537e+00
20,9.5367431641e-07,0x1.0p-20,1.0000004768e+00
21,4.7683715820e-07,0x1.0p-21,1.0000002384e+00
22,2.3841857910e-07,0x1.0p-22,1.0000001192e+00
23,1.1920928955e-07,0x1.0p-23,1.0000000000e+00
