n,float,f_hex,double,d_hex
0,9.99999977648258209229E-03,0x1.47ae14p-7,1.00000000000000002082E-02,0x1.47ae147ae147bp-7
1,3.97000014781951904297E-02,0x1.4538fp-5,3.96999999999999991784E-02,0x1.4538ef34d6a16p-5
2,1.54071733355522155762E-01,0x1.3b89f6p-3,1.54071730000000017835E-01,0x1.3b89f58cb483ep-3
3,5.45072615146636962891E-01,0x1.1713c2p-1,5.45072626044421304492E-01,0x1.1713c25d9c7b3p-1
4,1.28897809982299804688E+00,0x1.49fa78p0,1.28897800118880057063E+00,0x1.49fa76585e8d9p0
5,1.71518802642822265625E-01,0x1.5f454p-3,1.71519142109175515287E-01,0x1.5f456d8ff99fp-3
6,5.97819089889526367188E-01,0x1.321558p-1,5.97820120107099395312E-01,0x1.32157a918066cp-1
7,1.31911337375640869141E+00,0x1.51b16ap0,1.31911379241379744798E+00,0x1.51b171061eaacp0
8,5.62732219696044921875E-02,0x1.ccfd8p-5,5.62715776462565653304E-02,0x1.ccfa0d35eb7ep-5
9,2.15592861175537109375E-01,0x1.b988cp-3,2.15586839232630222973E-01,0x1.b98597bf9e044p-3
10,7.22930610179901123047E-01,0x1.7223f6p-1,7.22914301179573004497E-01,0x1.7221d2c2c100fp-1
11,1.32383644580841064453E+00,0x1.52e6f2p0,1.32384194416844080955E+00,0x1.52e74e3f46c97p0
12,3.77169847488403320313E-02,0x1.34fa4p-5,3.76952972547317521901E-02,0x1.34ccc49d819cp-5
13,1.46600216627120971680E-01,0x1.2c3cbcp-3,1.46518382713559242037E-01,0x1.2c11d47023f09p-3
14,5.21925985813140869141E-01,0x1.0b39e2p-1,5.21670621435246006925E-01,0x1.0b186964b25eap-1
15,1.27048373222351074219E+00,0x1.453e6cp0,1.27026177393507677671E+00,0x1.452fe02868fc5p0
16,2.39548206329345703125E-01,0x1.ea984p-3,2.40352172778242723084E-01,0x1.ec3dc28cd73b8p-3
17,7.86042809486389160156E-01,0x1.927434p-1,7.88101190235304116527E-01,0x1.9381ffcbffa5p-1
18,1.29058134555816650391E+00,0x1.4a638ap0,1.28909430279030745581E+00,0x1.4a02158ff1bd2p0
19,1.65524721145629882813E-01,0x1.52feap-3,1.71084846701943238401E-01,0x1.5e61bb6b687dp-3
20,5.79903602600097656250E-01,0x1.28e92p-1,5.96529312494690655555E-01,0x1.316c4a408a456p-1
21,1.31074976921081542969E+00,0x1.4f8d4cp0,1.31857558798259777433E+00,0x1.518e2b73b0714p0
22,8.88042449951171875000E-02,0x1.6bbep-4,5.83776082594307244023E-02,0x1.de3ab7c95fe2p-5
23,3.31558406352996826172E-01,0x1.53840cp-2,2.23286597599448244367E-01,0x1.c94a7bd299128p-3
24,9.96440708637237548828E-01,0x1.fe2d7ap-1,7.43575676395179185896E-01,0x1.7cb5f3786fcebp-1
25,1.00708055496215820313E+00,0x1.01d008p0,1.31558834600107199542E+00,0x1.50ca65d912c63p0
26,9.85688507556915283203E-01,0x1.f8ac2ap-1,7.00352956027789907978E-02,0x1.1edd5482dfc2p-4
27,1.02800858020782470703E+00,0x1.072b92p0,2.65426354520610030541E-01,0x1.0fcbed20a66c2p-2
28,9.41629409790039062500E-01,0x1.e21d4p-1,8.50351969060138435097E-01,0x1.b361555267adep-1
29,1.10651981830596923828E+00,0x1.1b44e2p0,1.23211246238718974411E+00,0x1.3b6bb8eaf26f4p0
30,7.52920925617218017578E-01,0x1.817edap-1,3.74146489639286761175E-01,0x1.7f2041e3a7dfcp-2
31,1.31101393699645996094E+00,0x1.4f9e9cp0,1.07662917142894443145E+00,0x1.139df82934f7p0
32,8.77830982208251953125E-02,0x1.678f4p-4,8.29125567400451513045E-01,0x1.a883257886571p-1
33,3.28014791011810302734E-01,0x1.4fe31cp-2,1.25415465005044413083E+00,0x1.4110477617cdbp0
34,9.89278078079223632813E-01,0x1.fa82a8p-1,2.97906941472320663244E-01,0x1.310e846b8000ep-2
35,1.02109897136688232422E+00,0x1.0566bep0,9.25382128557104555178E-01,0x1.d9cbafb4e9489p-1
36,9.56466555595397949219E-01,0x1.e9b5fcp-1,1.13253226266978557213E+00,0x1.21eda265d4e47p0
