n,float,f_ulp,f_hex,double,d_ulp,d_hex,big_dec,f_abs_err,d_abs_err
0,0.00999999977648258209228515625,9.313225746154785E-10,0x1.47ae14p-7,0.01000000000000000020816681711721685132943093776702880859375,1.734723475976807E-18,0x1.47ae147ae147bp-7,0.01,2.2351741790771484375E-10,2.0816681711721685132943093776702880859375E-19
1,0.0396999977529048919677734375,3.725290298461914E-9,0x1.4538eep-5,0.03969999999999999917843496177738416008651256561279296875,6.938893903907228E-18,0x1.4538ef34d6a16p-5,0.0397,2.2470951080322265625E-9,8.2156503822261583991348743438720703125E-19
2,0.1540717184543609619140625,1.4901161193847656E-8,0x1.3b89f4p-3,0.1540717299999999900794733775910572148859500885009765625,2.7755575615628914E-17,0x1.3b89f58cb483dp-3,0.15407173,1.15456390380859375E-8,9.9205266224089427851140499114990234375E-18
3,0.545072615146636962890625,5.9604644775390625E-8,0x1.1713c2p-1,0.54507262604442130449200476505211554467678070068359375,1.1102230246251565E-16,0x1.1713c25d9c7b3p-1,0.5450726260444213,1.0897784337109375E-8,4.49200476505211554467678070068359375E-18
4,1.28897798061370849609375,1.1920928955078125E-7,0x1.49fa76p0,1.2889780011888005706310877940268255770206451416015625,2.220446049250313E-16,0x1.49fa76585e8d9p0,1.28897800118880056414607744431893,2.057509206805232744431893E-8,6.4850103497078955770206451416015625E-18
5,0.17151927947998046875,1.4901161193847656E-8,0x1.5f458p-3,0.17151914210917507119802394299767911434173583984375,2.7755575615628914E-17,0x1.5f456d8ff99ep-3,0.171519142109175610913273761193671,1.37370804857836726238806329E-7,5.3971524981819599188565826416015625E-16
6,0.5978205204010009765625,5.9604644775390625E-8,0x1.321588p-1,0.597820120107098063044759328477084636688232421875,1.1102230246251565E-16,0x1.32157a918066p-1,0.5978201201070997089503137911335163,4.002939012676121862088664837E-7,1.645905554462656431663311767578125E-15
7,1.3191139698028564453125,1.1920928955078125E-7,0x1.51b174p0,1.3191137924137967818438710310147143900394439697265625,2.220446049250313E-16,0x1.51b171061eaa9p0,1.319113792413797470626994133643777,1.77389058974685505866356223E-7,6.887831231026290626099605560302734375E-16
8,0.056271076202392578125,3.725290298461914E-9,0x1.ccf9p-5,0.05627157764625945191028222325257956981658935546875,6.938893903907228E-18,0x1.ccfa0d35eb98p-5,0.056271577646256386401594399327629,5.01443863808276594399327629E-7,3.06550868782392495056981658935546875E-15
9,0.21558500826358795166015625,1.4901161193847656E-8,0x1.b984a2p-3,0.2155868392326407978476510152177070267498493194580078125,2.7755575615628914E-17,0x1.b98597bf9e1c1p-3,0.2155868392326295612986012134287748,0.0000018309690416096384449634287748,1.12365490498017889322267498493194580078125E-14
